Network,N (GCC),M (GCC),Density,⟨k⟩,C (clustering),L (sampled),GCC fraction
Italy 10 km,16635,118409,0.00086,14.24,0.1503,3.295,1.0
US 10 km,29773,367031,0.00083,24.66,0.3442,2.948,1.0
