window,n_nodes,n_edges,mean_degree,gamma,clustering,avg_path_length
1985–1989,7363,51057,19.903,1.7308,0.2837,3.0242
1990–1994,7781,64065,27.074,1.683,0.3263,2.9533
1995–1999,7356,53227,22.453,1.721,0.3295,3.0134
2000–2004,8547,55794,18.67,1.7694,0.2746,3.0705
2005–2009,8328,46738,15.576,1.7798,0.2879,3.1214
2010–2014,9492,53961,16.762,1.768,0.2365,3.1677
2015–2019,10090,58123,16.5,1.7706,0.2109,3.1825
2020–2024,10344,71838,19.911,1.7314,0.2988,3.0181
