transition,nmi,shared_nodes
1985–1989 → 1990–1994,0.1467,1046
1990–1994 → 1995–1999,0.0916,1290
1995–1999 → 2000–2004,0.0791,954
2000–2004 → 2005–2009,0.0692,1164
2005–2009 → 2010–2014,0.145,490
2010–2014 → 2015–2019,0.0386,1647
2015–2019 → 2020–2024,0.0939,719
