community,self_retention,entropy,dominant_target,stationary,total_flow
1,0.4466,2.6626,8,0.224477,154785
8,0.5459,2.2916,1,0.146139,100765
3,0.5277,2.3546,1,0.14612,100754
7,0.394,2.6777,1,0.104771,72243
5,0.3876,2.6942,1,0.096034,66218
10,0.431,2.5968,1,0.079781,55011
0,0.5286,2.318,1,0.071476,49285
9,0.5098,2.4082,1,0.060963,42036
11,0.4348,2.6092,1,0.039668,27352
4,0.454,2.6089,1,0.029097,20063
2,0.2445,3.104,1,0.001459,1006
6,0.5455,1.6858,1,1.6e-05,11
