cell_id,lat,lon,depth_km,Degree,PageRank,Closeness,Betweenness,Eigenvector,Katz,HITS_Hub,HITS_Auth,community
96_44_2,37.960857142857144,14.056571428571429,20.0,0.0007214139713839125,4.410054707796027e-05,0.2770994019557214,0.00012572050596092958,4.0857168194135755e-06,0.007690325804311883,6.808107389316519e-08,4.1081384139354815e-07,11
70_116_0,44.516999999999996,11.339333333333334,0.0,0.00036070698569195625,3.3675602893934455e-05,0.2694594288121041,6.060293562444125e-05,3.828265784838626e-06,0.007674641185347853,7.051074742546203e-08,4.128745827551142e-07,14
64_107_0,43.74134,10.497720000000001,0.0,0.0006011783094865938,2.8854638136709526e-05,0.29664901111051667,3.223762255511038e-05,1.8195418364474528e-05,0.00768611028773226,2.394664080130645e-06,1.2250446227493603e-06,2
87_64_61,39.828,13.16,610.0,0.00012023566189731875,1.2885100514145522e-05,0.23731666952005934,0.0,1.8334107390448927e-06,0.0076660684929257625,3.021835726662494e-07,1.021373602167789e-08,2
90_43_1,37.909,13.3158,10.0,0.00012023566189731875,1.2797021750927094e-05,0.2365371215676237,0.0,4.5348965491931194e-07,0.0076659663174129585,1.717388551529541e-09,3.350412330339677e-08,4
95_55_1,38.908,14.031,10.0,0.00012023566189731875,1.4994350317273683e-05,0.22451376047726382,1.0625826854191713e-08,2.0227447680234114e-08,0.007666016227462782,5.835297710025389e-10,1.0702743427746001e-09,11
99_85_0,41.60827272727273,14.661363636363637,0.0,0.0013225922808705061,6.561143924428338e-05,0.2702781749642532,1.870568309749199e-05,1.2241136422678362e-05,0.007706030762780225,1.4945117170836086e-06,2.0755731041792896e-07,16
123_34_2,36.8838,16.9333,20.0,0.00012023566189731875,1.2943965798194162e-05,0.2461415528492579,0.0,4.169652095285593e-07,0.007666061759261878,6.04532207019958e-08,3.966966341726429e-08,8
156_38_4,36.9908,20.6333,40.0,0.00012023566189731875,1.3498790493822258e-05,0.22684686404734955,1.2234864802841589e-08,2.48562048407709e-07,0.007666030784608096,7.470048929306503e-11,2.083811968575673e-08,18
163_28_0,35.99,21.26,0.0,0.00012023566189731875,1.635992867856939e-05,0.22124682441509383,0.0,6.336335860051072e-07,0.00766600210484039,4.6012735365340095e-08,2.127877359953959e-08,1
118_61_0,39.3304,16.68407142857143,0.0,0.0008416496332812313,3.7760783114142304e-05,0.2855475254493331,3.5377179670393994e-06,1.5281374627058177e-05,0.007689570422518589,2.1517279594613126e-07,2.3373940549588795e-06,2
96_76_0,40.799111,14.210055666666667,0.0,0.00036070698569195625,3.1793894619126906e-05,0.23734037240493686,5.197274331625422e-08,2.8130631738142366e-06,0.00767381431931853,3.5119356100095483e-07,3.8120750123917017e-10,17
121_46_6,37.989,16.9213,60.0,0.00012023566189731875,1.4172785712170177e-05,0.2193186013395918,0.0,8.039638981517109e-07,0.007666020333642792,5.598284544726059e-08,1.584898169883383e-10,18
97_26_2,36.3498,14.0597,20.0,0.00012023566189731875,1.3014254757859813e-05,0.23847344878999885,2.008285660060911e-09,8.983062926729611e-07,0.007666075024840938,3.6205528858973467e-08,2.1950428871742257e-08,3
64_115_1,44.451034782608694,10.52731304347826,10.0,0.002765420223638331,0.00012355946443135205,0.31033582089552236,0.00020960470707331264,0.00011221422709687957,0.007754740407546697,3.382896392248997e-06,1.4446545344825029e-05,3
100_108_1,43.657,15.007,10.0,0.00012023566189731875,1.3527715105219294e-05,0.25112852333288044,1.2652640840301524e-06,7.364259978561805e-06,0.007666118972204497,1.1635174653934562e-06,2.835647197279766e-08,17
116_45_0,37.94983333333334,16.3244,0.0,0.00036070698569195625,2.7662956668302933e-05,0.2653924086985657,7.191685672084666e-07,2.7288711337188574e-06,0.007674218656526617,9.946094615639997e-08,1.5876557701098248e-07,3
107_66_29,39.8398,15.3933,290.0,0.00012023566189731875,1.1225567907451834e-05,0.2862354378538365,5.330664114178556e-07,0.00015633927957382153,0.007652616890558535,5.739740064628066e-09,2.6904794340098257e-05,14
100_60_1,39.402,14.626,10.0,0.00012023566189731875,1.2983000738235168e-05,0.2461197011171118,3.4791184797165857e-07,4.8292619211211095e-06,0.007666093318801396,5.868495128859638e-07,1.3965739190907079e-08,18
106_95_1,42.449,15.5885,10.0,0.0002404713237946375,2.7184634591924547e-05,0.22139406119814195,0.0,5.523286917024991e-07,0.007669898591568665,6.032779602533846e-08,1.3003826363462947e-11,5
82_52_1,38.716,12.461,10.0,0.00012023566189731875,1.3360079714810908e-05,0.23271170553589166,2.8629259675974036e-08,1.4919893011896077e-07,0.007666034540368139,2.6118725764832174e-10,2.218670929157008e-08,8
77_107_0,43.67012285714286,12.12998095238095,0.0,0.007574846699531081,0.0004308116865128275,0.3406093865181424,0.0017142457665431756,0.0006238746066174021,0.008104664675733281,5.625766119404234e-05,7.048519874854201e-05,2
122_63_2,39.46915,17.13785,20.0,0.0002404713237946375,2.428244262103798e-05,0.26077005079325266,5.685465995513963e-07,1.2173868414291429e-06,0.007670458765605622,3.970530093187616e-08,7.637116390133427e-08,1
86_82_4,41.444,13.131,40.0,0.00012023566189731875,1.274450870073494e-05,0.25321581342954136,2.5001993497034436e-07,9.363479568746112e-06,0.007666341189405578,1.1888234097422853e-06,7.879306942211916e-08,2
120_46_3,37.9457,16.7092,30.0,0.00012023566189731875,1.5030181799641298e-05,0.22425950143583245,0.0,9.790740327651891e-07,0.007666024960948814,1.5381192706990306e-07,1.6981362057245854e-09,3
